crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
fallible-iterator, 0, 2, 2226, 2226, 111, 82, 171, 10, 119, 119, 0, 0, 0, 0, 0, 0, 47, 5, 47, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0
fallible-streaming-iterator, 0, 1, 898, 898, 0, 0, 0, 2, 33, 33, 0, 0, 0, 0, 0, 0, 26, 2, 26, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0
fallible_collections, 308, 14, 7272, 7272, 54, 41, 92, 15, 370, 370, 0, 0, 0, 0, 0, 0, 45, 0, 45, 0, 0, 0, 8, 0, 8, 141, 91, 2506, 222, 2442
fastrand, 0, 1, 705, 705, 36, 170, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0
ffi-support, 19, 7, 3197, 3197, 36, 398, 412, 7, 379, 379, 0, 0, 0, 0, 0, 0, 10, 42, 48, 1, 0, 1, 6, 0, 6, 68, 29, 41, 41, 191
flate2, 100, 20, 6111, 6111, 31, 20, 45, 9, 895, 895, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 2, 219, 78, 345, 185, 1144
float-cmp, 0, 6, 1156, 1156, 113, 91, 200, 2, 17, 17, 0, 0, 0, 0, 0, 0, 10, 3, 12, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0
foreign-types, 0, 1, 249, 249, 1, 32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
foreign-types-shared, 0, 1, 91, 91, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0
form_urlencoded, 2, 1, 407, 407, 3, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 77
freetype, 81, 3, 2638, 2638, 237, 781, 781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 81, 81, 81, 75
fs-err, 119, 14, 1854, 1854, 29, 0, 29, 18, 235, 235, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 102, 88, 236, 126, 579
fuchsia-zircon, 72, 18, 2650, 2650, 29, 220, 240, 9, 754, 754, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 0, 108, 55, 81, 58, 404
fuchsia-zircon-sys, 143, 2, 1367, 1367, 12, 182, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 139, 139, 140, 625
funty, 40, 4, 2968, 2968, 47, 1017, 1034, 2, 54, 54, 0, 0, 0, 0, 0, 0, 15, 8, 20, 0, 0, 0, 2, 0, 2, 66, 32, 45, 41, 114
futures, 0, 1, 259, 259, 1, 1, 1, 2, 66, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-channel, 21, 6, 2205, 2205, 17, 8, 23, 6, 23, 23, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 8, 0, 8, 38, 11, 34, 36, 398
futures-core, 4, 7, 805, 805, 5, 13, 16, 2, 52, 52, 0, 0, 0, 0, 0, 0, 11, 5, 11, 0, 0, 0, 2, 0, 2, 5, 3, 5, 3, 125
futures-executor, 6, 5, 1070, 1070, 9, 5, 13, 5, 29, 29, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 21, 2, 10, 7, 123
futures-io, 0, 1, 557, 557, 0, 0, 0, 1, 531, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-macro, 6, 5, 699, 699, 44, 267, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 5, 5, 222
futures-sink, 0, 1, 239, 239, 0, 0, 0, 1, 77, 77, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-task, 23, 7, 807, 807, 1, 0, 1, 7, 202, 202, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 6, 0, 6, 14, 6, 28, 19, 64
futures-util, 182, 177, 24988, 24988, 471, 2153, 2473, 137, 2329, 2329, 8, 0, 8, 0, 0, 0, 195, 0, 195, 0, 0, 0, 30, 0, 30, 310, 48, 176, 194, 1973
generic-array, 93, 12, 2334, 2334, 9, 76, 80, 10, 113, 113, 0, 0, 0, 0, 0, 0, 58, 47, 87, 9, 0, 9, 25, 0, 25, 25, 19, 75, 84, 603
getrandom, 127, 25, 1681, 1681, 15, 218, 225, 2, 13, 13, 0, 0, 0, 0, 0, 0, 22, 18, 26, 0, 0, 0, 1, 0, 1, 37, 28, 190, 42, 528
gl_generator, 3, 13, 3229, 3229, 174, 515, 641, 2, 291, 291, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 10, 2, 3, 3, 50
gleam, 710, 4, 5420, 5420, 93, 684, 775, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 4, 424, 2757
glob, 47, 1, 1423, 1423, 7, 13, 16, 3, 422, 422, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 13, 7, 52, 16, 534
glow, 3269, 5, 49138, 49138, 891, 2772, 3222, 10, 287, 287, 0, 0, 0, 0, 0, 0, 36, 0, 36, 0, 0, 0, 0, 0, 0, 2095, 717, 7671, 1490, 18787
glsl, 4, 10, 9850, 9850, 643, 2354, 2717, 4, 242, 242, 143, 888, 915, 0, 0, 0, 13, 0, 13, 0, 0, 0, 0, 0, 0, 185, 1, 1, 4, 25
glslopt, 26, 2, 233, 233, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 29, 24, 98
goblin, 4, 42, 19000, 19000, 238, 3637, 3784, 15, 910, 910, 0, 0, 0, 0, 0, 0, 54, 0, 54, 0, 0, 0, 8, 0, 8, 262, 3, 3, 4, 29
gpu-alloc, 80, 11, 2466, 2466, 67, 136, 178, 6, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 41, 21, 223, 32, 968
gpu-alloc-types, 0, 3, 216, 216, 2, 44, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gpu-descriptor, 13, 2, 631, 631, 18, 37, 42, 3, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 15, 6, 259
