crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
remove_dir_all, 40, 7, 691, 691, 12, 24, 25, 2, 136, 136, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 4, 4, 65, 21, 224
http-body, 4, 3, 393, 393, 4, 0, 4, 1, 3, 3, 0, 0, 0, 0, 0, 0, 14, 2, 14, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 16
tempfile, 139, 10, 2646, 2646, 8, 19, 24, 4, 22, 22, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 61, 38, 549, 64, 449
futures-macro, 6, 5, 699, 699, 44, 267, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 5, 5, 222
mime, 0, 2, 1396, 1396, 25, 204, 221, 2, 159, 159, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0
quick-error, 0, 1, 1335, 1335, 1, 652, 652, 1, 363, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hex, 0, 3, 675, 675, 8, 30, 34, 2, 164, 164, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0
rand_hc, 0, 2, 522, 522, 9, 0, 9, 1, 151, 151, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futures-executor, 6, 5, 1070, 1070, 9, 5, 13, 5, 29, 29, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 21, 2, 10, 7, 123
uuid, 13, 21, 5974, 5974, 21, 191, 205, 34, 1840, 1840, 0, 0, 0, 0, 0, 0, 16, 29, 36, 0, 0, 0, 0, 0, 0, 96, 10, 23, 21, 161
want, 0, 1, 584, 584, 7, 3, 9, 1, 168, 168, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0
openssl-sys, 720, 60, 9188, 9189, 164, 3082, 3104, 214, 799, 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 707, 707, 720, 707, 1130
adler, 2, 2, 431, 431, 0, 0, 0, 1, 65, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 1, 14
sha-1, 26, 5, 576, 576, 63, 67, 120, 1, 4, 4, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 5, 1, 1, 2, 74
serde_urlencoded, 2, 7, 1527, 1527, 8, 66, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 54, 0, 0, 0, 0, 0, 0, 10, 1, 1, 2, 14
flate2, 100, 20, 6111, 6111, 31, 20, 45, 9, 895, 895, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 2, 219, 78, 345, 185, 1144
walkdir, 54, 7, 3072, 3072, 253, 173, 404, 14, 117, 117, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 44, 8, 18, 31, 455
