avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::solarish::compat::getgrent_r, c_int::max_value, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 209, 20
1, libc, libc::unix::haiku::native::get_next_sem_info, _get_next_sem_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1301, 4
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 101, 15
1, libc, libc::unix::solarish::compat::openpty, unlockpt, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 70, 29
1, libc, libc::unix::haiku::native::get_port_info, _get_port_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1261, 4
1, libc, libc::unix::solarish::compat::bail, close, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 49, 8
1, libc, libc::unix::solarish::compat::getgrent_r, UNKNOWN_METHOD::is_null, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 212, 27
1, libc, libc::vxworks::mod::posix_memalign, errnoSet, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/vxworks, mod.rs, 1877, 8
1, libc, libc::unix::linux_like::linux::musl::lfs64::getrlimit64, getrlimit, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 86, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::pwrite64, pwrite, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 176, 4
1, libc, libc::unix::solarish::compat::openpty, grantpt, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 70, 7
1, libc, libc::unix::linux_like::linux::musl::lfs64::pread64, pread, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 146, 4
1, libc, libc::unix::solarish::compat::openpty, ioctl, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 88, 16
1, libc, libc::unix::haiku::native::get_port_message_info_etc, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1288, 8
1, libc, libc::unix::solarish::compat::forkpty, dup2, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 158, 11
1, libc, libc::unix::solarish::compat::forkpty, _exit, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 163, 8
1, libc, libc::unix::haiku::native::get_next_team_info, _get_next_team_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1316, 4
1, libc, libc::unix::haiku::native::get_port_message_info_etc, _get_port_message_info_etc, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1285, 4
1, libc, libc::unix::haiku::native::get_next_image_info, _get_next_image_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1360, 4
1, libc, libc::unix::solarish::compat::getpwent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 193, 5
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 71, 15
1, libc, libc::unix::linux_like::linux::musl::lfs64::fstatvfs64, fstatvfs, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 71, 4
1, libc, libc::unix::haiku::native::get_image_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1351, 33
1, libc, libc::unix::solarish::mod::siginfo_t::si_stime, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1109, 42
1, libc, libc::unix::solarish::mod::siginfo_t::si_addr, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1085, 42
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 106, 15
1, libc, libc::unix::solarish::mod::minor, __minor, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 3268, 4
1, libc, libc::unix::solarish::mod::major, __major, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 3264, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::posix_fadvise64, posix_fadvise, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 127, 4
1, libc, libc::unix::solarish::compat::getgrent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 205, 5
1, libc, libc::unix::haiku::native::get_next_team_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1316, 38
1, libc, libc::unix::solarish::compat::bail, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 51, 5
1, libc, libc::fuchsia::mod::__CMSG_NEXT, UNKNOWN_METHOD::offset, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/fuchsia, mod.rs, 3334, 19
