created_at,description,documentation,downloads,homepage,id,name,repository,updated_at
2019-10-02 23:38:13.973505,A lock-free concurrent slab. ,https://docs.rs/sharded-slab/0.1.4/sharded_slab,21933283,https://github.com/hawkw/sharded-slab,169478,sharded-slab,https://github.com/hawkw/sharded-slab,2021-10-12 17:23:06.509049
2014-11-22 22:27:53.644783,Runtime support for perfect hash function data structures,,21913777,,358,phf,https://github.com/rust-phf/rust-phf,2022-08-08 10:03:49.635588
2017-11-11 00:12:56.159388,derives for the failure crate,https://docs.rs/failure,21900847,https://rust-lang-nursery.github.io/failure/,38934,failure_derive,https://github.com/rust-lang-nursery/failure,2020-05-02 18:13:57.357775
2018-05-24 13:05:52.176874,"speed, non-cryptographic hash used in rustc",,21828673,,66890,rustc-hash,https://github.com/rust-lang-nursery/rustc-hash,2020-02-08 13:20:36.01282
2014-11-21 00:11:41.885162,Fast CSV parsing with support for serde.,http://burntsushi.net/rustdoc/csv/,21771595,https://github.com/BurntSushi/rust-csv,192,csv,https://github.com/BurntSushi/rust-csv,2021-03-07 13:42:32.460383
2014-12-28 18:17:56.750054,A terminal formatting library ,https://docs.rs/term/,21671305,https://github.com/Stebalien/term,657,term,https://github.com/Stebalien/term,2021-01-12 19:18:09.020941
2017-02-12 07:07:10.075292,Helpful macros for working with enums and strings,https://docs.rs/strum,21594309,https://github.com/Peternator7/strum,8484,strum,https://github.com/Peternator7/strum,2022-06-12 20:33:41.507492
2016-04-29 01:27:04.929343,Yet another error boilerplate library.,https://docs.rs/error-chain,21513861,,4891,error-chain,https://github.com/rust-lang-nursery/error-chain,2020-08-02 17:50:33.565942
2014-11-11 05:37:31.772551,"A collection of numeric types and traits for Rust, including bigint, complex, rational, range iterators, generic integers, and more! ",https://docs.rs/num,21447677,https://github.com/rust-num/num,9,num,https://github.com/rust-num/num,2021-03-06 04:18:22.995174
2014-11-20 20:03:47.604153,A binary serialization / deserialization strategy for transforming structs into bytes and vice versa!,https://docs.rs/bincode,21440923,,137,bincode,https://github.com/bincode-org/bincode,2022-03-04 10:07:05.059299
2019-06-27 22:04:57.142995,Utilities for instrumenting `futures` with `tracing`. ,,21239931,https://tokio.rs,144099,tracing-futures,https://github.com/tokio-rs/tracing,2021-02-16 21:17:03.683426
2017-05-23 01:28:33.952564,Bare bones CSV parsing with no_std support.,https://docs.rs/csv-core,20943656,https://github.com/BurntSushi/rust-csv,15639,csv-core,https://github.com/BurntSushi/rust-csv,2020-02-14 18:09:01.519553
2016-03-23 16:35:10.496904,Library implementation of the standard library's old `scoped_thread_local!` macro for providing scoped access to thread local storage (TLS) so any type can be stored into TLS. ,https://docs.rs/scoped-tls,20734786,https://github.com/alexcrichton/scoped-tls,4532,scoped-tls,https://github.com/alexcrichton/scoped-tls,2019-02-26 02:14:29.028154
2015-10-17 23:55:36.632904,Bindings to Core Foundation for macOS,,20695870,https://github.com/servo/core-foundation-rs,3240,core-foundation-sys,https://github.com/servo/core-foundation-rs,2021-10-12 23:52:36.846692
2019-07-09 02:54:23.855805,MaybeUninit for friends of backwards compatibility,,20671746,,147730,maybe-uninit,https://github.com/est31/maybe-uninit,2019-07-10 13:41:31.04347
2018-12-06 05:31:29.96046,__attribute__((constructor)) for Rust,,20579435,,100353,ctor,https://github.com/mmastrac/rust-ctor,2022-07-28 23:27:41.36761
2018-07-19 19:42:48.824097,"Bindings for all Web APIs, a procedurally generated crate from WebIDL ",https://rustwasm.github.io/wasm-bindgen/api/web_sys/,20558397,https://rustwasm.github.io/wasm-bindgen/web-sys/index.html,75113,web-sys,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/web-sys,2022-09-12 14:27:58.396206
2016-02-27 06:46:34.20559,YAML data format for Serde,https://docs.rs/serde_yaml/,20536612,,4304,serde_yaml,https://github.com/dtolnay/serde-yaml,2022-09-14 19:52:37.853215
2018-12-25 20:13:05.596834,An attribute for easy generation of const functions with conditional compilations. ,,20343654,,103778,const_fn,https://github.com/taiki-e/const_fn,2022-01-03 09:22:17.053352
